House,Block,Lot,Address,Scheduled Start,Scheduled Original Completion,Scheduled Revised Completion,Days From Start,Days Behind/Ahead,Estimated Settlement Date
  DR00000390,NA,1-P1,  8701 Desert Finch Ln NE,7/23/18,11/1/18,1/16/19,157,-49,11/30/18
  DR00000393,NA,4-P1,  8713 Desert Finch Ln NE,10/11/18,1/29/19,3/8/19,77,-28,1/10/19
  DR00000394,NA,5-P1,  8715 Desert Finch Ln NE,3/28/18,,1/11/19,274,0,8/8/18
  DR00000395,NA,6-P1,  8700 Desert Finch Ln NE,7/18/18,10/29/18,1/11/19,162,-49,11/28/18
  DR00000396,NA,7-P1,  8704 Desert Finch Ln NE,11/27/18,3/13/19,3/27/19,30,-10,
  DR00000398,NA,9-P1,  8712 Desert Finch Ln NE,5/29/18,8/28/18,1/3/19,212,-86,11/30/18
  DR00000399,NA,10-P1,  8716 Desert Finch Ln NE,3/28/18,6/28/18,12/27/18,274,-123,
  HE00000730,NA,1-P1,  8115 Ronan Court NE,7/23/18,10/22/18,12/20/18,157,-41,11/30/18
  HE00000731,NA,2-P1,  8109 Ronan Court NE,1/5/18,4/6/18,12/28/18,356,-182,
  HE00000735,NA,6-P1,  8104 Ronan Court NE,8/31/18,12/3/18,3/4/19,118,-62,
  HE00000738,NA,9-P1,  8115 Jenson Court NE,8/29/18,11/29/18,1/15/19,120,-30,12/31/18
  HE00000740,NA,11-P1,  8105 Jenson Court NE,10/11/18,1/17/19,2/28/19,77,-30,1/25/19
  HE00000743,NA,14-P1,  8104 Jenson Court NE,10/15/18,1/21/19,2/28/19,73,-28,
  HE00000745,NA,16-P1,  8112 Jenson Court NE,9/7/18,12/7/18,1/17/19,111,-26,12/31/18
  LC00000944,7,5,  6011 Goldenseal Ave. NW,10/18/18,1/24/19,2/15/19,70,-16,
  LC00000953,3,6,  8220 Burdock St. NW,11/14/18,2/21/19,3/4/19,43,-7,
  LC00000954,3,5,  8216 Burdock St. NW,10/11/18,1/17/19,2/15/19,77,-21,
  LC00000955,3,4,  8212 Burdock St. NW,10/18/18,1/24/19,2/21/19,70,-20,
  LC00000956,3,3,  8208 Burdock St. NW,10/31/18,2/7/19,2/27/19,57,-14,
  LC00000957,3,2,  8204 Burdock St. NW,10/31/18,2/7/19,3/22/19,57,-31,
  LC00000958,3,1,  8200 Burdock St. NW,12/27/18,4/1/19,4/1/19,0,0,
  LC00000959,2,9,  6108 Buckthorn Ave. NW,10/5/18,1/11/19,2/15/19,83,-25,1/28/19
  LC00000960,2,10,  6104 Buckthorn Ave. NW,10/5/18,1/11/19,2/15/19,83,-25,1/28/19
  LC00000961,2,11,  6100 Buckthorn Ave. NW,11/28/18,3/5/19,3/14/19,29,-7,
  LC00000962,2,12,  6020 Buckthorn Ave. NW,11/28/18,3/5/19,3/13/19,29,-6,
  LC00000963,2,13,  6016 Buckthorn Ave. NW,12/7/18,3/14/19,3/21/19,20,-5,
  LC00000968,6,1,  6019 Buckthorn Ave. NW,11/28/18,3/5/19,3/18/19,29,-9,
  LC00000978,6,11,  6016 Goldenseal Ave. NW,10/15/18,1/21/19,3/22/19,73,-44,
 2B00001239,8,8,  7029 Cleary Loop NE,11/1/18,2/8/19,2/28/19,56,-14,
  2F00000886,2,3,  7224 Aldan Drive NE,3/2/17,5/26/17,8/8/17,665,-50,8/31/18
  2F00000887,2,4,  7228 Aldan Drive NE,5/29/18,8/28/18,12/19/18,212,-78,11/30/18
  2F00000888,2,5,  7232 Aldan Drive NE,7/6/18,10/5/18,12/27/18,174,-55,11/30/18
  2F00000890,3,1,  7209 Aldan Drive NE,7/16/18,10/15/18,12/27/18,164,-49,12/7/18
  2F00000895,3,6,  7229 Aldan Drive NE,10/8/18,1/14/19,2/19/19,80,-26,2/13/19
  2F00000897,3,8,  7237 Aldan Drive NE,10/8/18,1/14/19,2/15/19,80,-24,
 4A00000783,6,5,  6932 Yukon Rd NE,12/20/17,3/22/18,5/17/18,372,-40,
MP00000548,4,28,  1822 Castle Peak Loop,12/22/17,3/27/18,1/3/19,370,-193,7/31/18
  MP00000549,4,29,  1818 Castle Peak Loop,5/18/18,8/17/18,11/8/18,223,-58,11/7/18
  MP00000559,4,35,  5541 Pikes Peak Loop,10/8/18,1/14/19,2/14/19,80,-23,2/5/19
  MP00000590,2,9,  1835 Castle Peak Loop,7/3/18,10/4/18,1/21/19,177,-72,12/14/18
  MP00000593,4,47,  5453 Pikes Peak Loop,10/31/18,2/7/19,3/18/19,57,-27,
  MP00000594,4,48,  5449 Pikes Peak Loop,12/7/18,3/14/19,3/22/19,20,-6,
 MV00000612,1,41,  2621 La Luz Circle,8/24/18,11/23/18,1/18/19,125,-36,12/21/18
  MV00000619,2,6,  2604 La Luz Circle,2/22/18,5/24/18,1/3/19,308,-151,11/30/18
  MV00000625,2,18,  2806 La Luz Circle,4/6/18,7/6/18,1/3/19,265,-123,9/28/18
  MV00000631,2,21,  6016 North Sandia Ct,2/16/18,5/18/18,1/3/19,314,-155,11/30/18
  MV00000633,2,22,  6020 North Sandia Ct,6/13/18,9/12/18,1/18/19,197,-87,12/21/18
  MV00000635,2,23,  6024 North Sandia Ct,9/25/18,12/31/18,2/13/19,93,-31,1/31/19
  MV00000637,2,24,  6028 North Sandia Ct,10/29/18,2/4/19,3/22/19,59,-34,
  MV00000640,2,27,  6037 North Sandia Ct,12/27/18,4/1/19,4/1/19,0,0,
  MV00000660,2,49,  2664 La Luz Circle,2/22/18,5/24/18,1/3/19,308,-151,11/30/18
 MH00000724,9,40,  6949 Mountain Hawk Lp,10/10/18,1/16/19,2/25/19,79,-28,2/1/19
  MH00000765,1,2,  7033 Mountain Hawk Lp,7/25/18,10/24/18,12/20/18,156,-39,12/7/18
 PK00001062,NA,413,  3 Hania Kachina Court,11/8/18,3/12/19,3/28/19,50,-12,
 PV00000327,5,39,  5852 Mafraq Ave NW,1/26/17,4/24/17,6/8/17,701,-32,
  PV00000338,5,33,  5828 Mafraq Ave NW,2/17/17,5/25/17,7/28/17,679,-44,
  PV00000340,4,8,  5804 Ermemin Ave NW,1/26/17,4/24/17,6/8/17,701,-32,
  PV00000359,5,11,  5827 Ermemin Ave NW,3/1/17,5/26/17,7/24/17,667,-39,
  PV00000360,5,10,  5831 Ermemin Ave NW,5/11/17,8/24/17,12/1/17,596,-68,
  PV00000361,5,9,  5835 Ermemin Ave NW,6/1/17,9/1/17,10/20/17,575,-34,
  PE00000434,2,15,  6508 Camino del Oeste,1/10/18,4/11/18,6/29/18,352,-56,6/29/18
RV00000121,,133,  1911 Camino Rustica,8/29/18,11/29/18,1/17/19,121,-32,1/7/19
  RV00000148,,158,  1911 Camino Cancun SW,12/20/18,3/27/19,4/2/19,8,-4,
  RV00000152,,162,  1861 Camino Cancun SW,9/25/18,12/31/18,1/25/19,94,-18,1/16/19
  RV00000183,,223,  1941 Camino Corona SW,9/11/18,12/11/18,1/23/19,108,-28,1/7/19
  RV00000185,,225,  1921 Camino Corona SW,11/14/18,2/21/19,3/22/19,44,-21,
  RV00000187,,227,  1901 Camino Corona SW,10/15/18,1/21/19,2/22/19,74,-24,
  RV00000202,,245,  1661 Camino Corona SW,11/27/18,3/4/19,3/25/19,31,-15,
SP00000103,,83,  740 Jaconita Pl. SW,3/2/16,6/1/16,6/24/16,1031,-17,
 SM00000802,NA,5,  7311 Laguna Niguel Dr NE,5/21/18,8/21/18,12/31/18,221,-89,10/31/18
  SM00000804,NA,7,  7307 Laguna Niguel Dr NE,9/7/18,12/19/18,1/31/19,112,-28,12/31/18
  SM00000805,NA,8,  7305 Laguna Niguel Dr NE,7/23/18,10/31/18,1/25/19,158,-57,12/7/18
  SM00000806,NA,9,  7303 Laguna Niguel Dr NE,10/10/18,1/16/19,2/15/19,79,-22,1/25/19
  SM00000807,NA,10,  7301 Laguna Niguel Dr NE,7/18/18,10/29/18,1/11/19,163,-49,11/30/18
  SM00000823,NA,26,  7300 Laguna Niguel Dr NE,12/4/18,3/20/19,3/27/19,24,-5,
  SM00000843,NA,84,  6705 Promenade Ave NE,8/13/18,11/12/18,1/16/19,137,-42,11/30/18
 VV00000003,Unit 2,3,  7309 Valle Jardin Ln NW,3/7/18,6/18/18,12/28/18,296,-132,10/26/18
  VV00000004,Unit 2,4,  7305 Valle Jardin Ln NW,10/27/17,2/12/18,6/29/18,427,-98,10/1/18
  VV00000009,Unit 2,11,  7309 Valle Cantero Ln NW,3/22/18,7/3/18,8/13/18,281,-27,8/9/18
